Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"brno, vranovská 7, česká republika","Brno, Vranovská 7, Česká republika",,2026-10-03,152,Více než 60 dnů,zelená,2026-10-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",131,2021,,,,Jihomoravský,ASTIP STRONG 47kVA/20kVA/3F-45 minut,,,,,,,,,,,,3/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Just 606 733 151,"Brno, Vranovská 7",,,
"brno, vránova 172, poliklinika, česká republika","Brno, Vránova 172, poliklinika, Česká republika",2025-02-07,2025-08-07,-270,Po termínu,červená,2025-02-07 (proběhlá); 2025-08-07 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,54,2019,,,"Švácha, výtahy Brno, 721 623 737",Jihomoravský,ASTIP PS 20 kVA/3F -45 minut,"Brno, Vránova 172, poliklinika",,,7/25,,,,,,7/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, vídeňská 16, česká republika","Brno, Vídeňská 16, Česká republika",,2026-10-23,172,Více než 60 dnů,zelená,2026-10-23 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",123,2018,,,,Jihomoravský,STRONG 3 000/3F -45 minut,,,,,,,,,,,,23/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dobešová - 604 354 620,"Brno, Vídeňská 16",,,
"brno, vídeňská 18, česká republika","Brno, Vídeňská 18, Česká republika",,2026-11-20,200,Více než 60 dnů,zelená,2026-11-20 (plánovaná); 2027-02-04 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",124,2015,,,,Jihomoravský,2x PS 2000/3f-20 minut,,,,4/27-1x,,,,,,,,,20/26-1x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Stuřák 608 081 158,"Brno, Vídeňská 18",,,
"brno, vídeňská 20, 20a, česká republika","Brno, Vídeňská 20, 20a, Česká republika",2026-03-10,2026-03-10,-55,Po termínu,červená,2026-03-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",125,2018,,,,Jihomoravský,PS 3000/3f,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Šusterová - 608 081 158,"Brno, Vídeňská 20,20a",,,
"brno, vídeňská 6, česká republika","Brno, Vídeňská 6, Česká republika",2022-05-30,2022-05-30,-1435,Po termínu,červená,2022-05-30 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",126,2016,ano,,,Jihomoravský,PS 10kVA/3f -45 minut,,,,,,,30/22,,,,,,,,,"2025 - posláno na servis@ebmbrno.cz, 2024 - aktualizovaná CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Večeřa 702 209 323,"Brno, Vídeňská 6",,,
"brno, zaječí hora 6, česká republika","Brno, Zaječí hora 6, Česká republika",2025-03-28,2025-03-28,-402,Po termínu,červená,2025-03-28 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",132,2017,,,,Jihomoravský,PS 7500/3F - 15 minut,,,,,28/25,,,,,,,,,,,"2025 - řešil Honza, jsou nějaké potíže, prudiči, vyhořelý střídač…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,doplnit prosím M.Bohm,"Brno, Zaječí hora 6",,5500,
"brno, zvonařka 10, autoslalon hukr, česká republika","Brno, Zvonařka 10, autoslalon Hukr, Česká republika",2022-06-10,2022-12-10,-1241,Po termínu,červená,2022-06-10 (proběhlá); 2022-12-10 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,16,2015,,,pan Vladimír Huska 602720381,Jihomoravský,ASTIP PS 4 000/3F -10 minut,"Brno - Zvonařka 10, autoslalon Hukr",,,,,,,10/22,,,,,,10/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, čechyňská 9, bagira, česká republika","Brno, Čechyňská 9, Bagira, Česká republika",2020-11-30,,,Bez termínu,šedá,2020-11-30 (nezjištěno),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,19,2019,,,Malý 702 266 352,Jihomoravský,STRONG 2 000/3F-10 minut,"Brno, Čechyňská  9, Bagira",,,,,,,,,,,,30/20,,,"2024 - nevyřízená reklamace - tedy asi mrtvo….2021 -stop stav - reklamace, předáno Králíčkovi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"brno, čejkovická 11, česká republika","Brno, Čejkovická 11, Česká republika",,2026-05-13,9,7–30 dnů,oranžová,2026-05-13 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",41,2018,ano,,,Jihomoravský,STRONG LiftBack 10 000/3f-45 min,,,,,,,13/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jakrlová, SBD Mír, 548 424 471","Brno, Čejkovická 11",,,
"brno, česká 11, škola charbulova, česká republika","Brno, Česká 11, škola Charbulova, Česká republika",2026-02-25,2026-08-25,113,Více než 60 dnů,zelená,2026-02-25 (proběhlá); 2026-08-25 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,20,2017,ano,ano,Ing. Janák 601 366 435,Jihomoravský,"Strong 2000/3f, 45 min","Brno, Česká 11, škola Charbulova",,,25/26,,,,,,25/26,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, řípská 23, česká republika","Brno, Řípská 23, Česká republika",,2026-06-11,38,30–60 dnů,žlutá,2026-06-11 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",102,2018,,,,Jihomoravský,"PS 50000/3f, 10, 45, 60 min",,,,,,,,11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Milan Svoboda 724 261 460, 533 432 514, IMOS","Brno, Řípská 23",,,
"brno, řípská 9a, slatina 627 00, česká republika","Brno, Řípská 9a, Slatina 627 00, Česká republika",,2026-11-20,200,Více než 60 dnů,zelená,2026-11-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",103,2015,,,,Jihomoravský,ASTIP PS 15kVA/3F -15 minut,,,,,,,,,,,,,20/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Vávra - 734 797 216,"Brno, Řípská 9a, Slatina 627 00",,,
"brno, šmahova 113, martin kučera, česká republika","Brno, Šmahova 113, Martin Kučera, Česká republika",2026-04-28,2026-04-28,-6,Po termínu,červená,2026-04-28 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",113,2017,,,,Jihomoravský,STRONG 1000VA/1F 20min,,,,,,28/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Kučera správce -519 426 056, Baumann","Brno, Šmahova 113, Martin Kučera",,5500,
"brno, šumavská 15, administrativní budova, česká republika","Brno, Šumavská 15, administrativní budova, Česká republika",2025-12-03,2025-12-03,-152,Po termínu,červená,2025-12-03 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,48,2023,,,Ševčík 776 060 715,Jihomoravský,STRONG 150kVA/30kVA/3F-45 minut,"Brno, Šumavská 15, administrativní budova",,,,,,,,,,,,,3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"brno, šumavská 31, budova b -šumavská tower, česká republika","Brno, Šumavská 31, Budova B -Šumavská tower, Česká republika",2025-09-29,2026-03-29,-36,Po termínu,červená,2025-09-29 (proběhlá); 2026-03-29 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,49,"2019, 2023",ano,,"Kolek 608 772 600, Liška 775 027 428",Jihomoravský,2 x PS Liftback 40kVA/3F-dojezd,"Brno, Šumavská 31, Budova B -Šumavská tower",,,,29/26,,,,,,29/25,,,,,"12/2021 doplněno o další zdroj k dojezdu budova B, cena 8 900 Kč, v.č.19021902, 12.1.2023 doplněno o další zdroj ASTIP PS Liftback 40kVA/3F/5 minut, v.č. 23011102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, šumavská 35, lidl, česká republika","Brno, Šumavská 35, LIDL, Česká republika",2026-02-13,2026-08-13,101,Více než 60 dnů,zelená,2026-02-13 (proběhlá); 2026-08-13 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,50,2019,,,Bezruč - 724 610 251,Jihomoravský,PS 30 kVA/3F -15 minut + RPO,"Brno, Šumavská 35, LIDL",,,13/26,,,,,,13/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, šumavská 516/35, budova c, šumavská tower, česká republika","Brno, Šumavská 516/35, Budova C, Šumavská Tower, Česká republika",2025-09-29,2026-03-29,-36,Po termínu,červená,2025-09-29 (proběhlá); 2026-03-29 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,51,"2019, 2016",ano,,"Kolek 608 772 600, Liška 775 027 428",Jihomoravský,"PS 40kVA/3F - 45minut, ASTIP PS 100kVA/3f-30 min ","Brno, Šumavská 516/35, Budova C  - Šumavská Tower",,,,29/26,,,,,,29/25-100kVA-STOP STAV,,,,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brno, žabí 2, přírodní 3, česká republika","Brno, Žabí 2, Přírodní 3, Česká republika",2026-03-03,2026-03-03,-62,Po termínu,červená,2026-03-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",133,2016,ano,,,Jihomoravský,PS 3000/3f-45 min,,,,,3/26,,,,,,,,,,,Dodat štítky!!!!! - jeden záožák 6500Kč - Přírodní 3 (faktura 50% sleva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Karel Svoboda 723 158 581,"Brno, Žabí 2, Přírodní 3",,13000,
"brno, žerotínovo náměstí 3, česká republika","Brno, Žerotínovo náměstí 3, Česká republika",2025-10-14,2026-04-14,-20,Po termínu,červená,2025-10-14 (proběhlá); 2026-04-14 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,55,2016,,,Bradáč - 724 168 313,Jihomoravský,PS 2000/3F 30min.,"Brno, Žerotínovo náměstí 3",,,,,14/26,,,,,,14/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"brněněc 24, penam mlýn, česká republika","Brněněc 24, PENAM mlýn, Česká republika",2025-07-22,2025-07-22,-286,Po termínu,červená,2025-07-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",27,2023,,,,Jihomoravský,ASTIP PS 3 000VA/3F-7 minut,,,,,,,,,22/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Šafář 725 604 863,"Brněněc 24, PENAM mlýn",,,
"broumov, přadlácká 158, z-trade, česká republika","Broumov, Přadlácká 158, Z-Trade, Česká republika",,2026-08-21,109,Více než 60 dnů,zelená,2026-08-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",135,2024,,,,Královehradecký,"ASTIP STRONG Liftback 415kVA/75kVA/3F-dojezdy, 15 minut",,,,,,,,,,21/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Vlastimil Kyral 733 524 165,"Broumov, Přadlácká 158, Z-Trade",,,
"brumov, bylnice 1104, česká republika","Brumov, Bylnice 1104, Česká republika",2026-04-09,2026-04-09,-25,Po termínu,červená,2026-04-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",134,2017,,,,Zlínský,PS 20 kVA/3F - 45 minut,,,,,,9/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Město Brumov - 577 305 111,Brumov -  Bylnice 1104,,9800,
"bruntál, revoluční 1712/ 20, hotel slezan, česká republika","Bruntál, Revoluční 1712/ 20, hotel Slezan, Česká republika",2025-04-03,2025-10-03,-213,Po termínu,červená,2025-04-03 (proběhlá); 2025-10-03 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,56,2021,,,Duchtík 776 070 991,Moravskoslezský,ASTIP PS 40kVA/30kVA/3F -45 minut,"Bruntál, Revoluční 1712_ 20, hotel Slezan",,,,,3/25,,,,,,3/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"bruntál, zahradní 48, strojmetal, pozor info ve složce, česká republika","Bruntál, Zahradní 48, Strojmetal, POZOR info ve složce, Česká republika",2026-03-10,2026-09-10,129,Více než 60 dnů,zelená,2026-03-10 (proběhlá); 2026-09-10 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,57,2020,ano ,ano,"!!!Martin Waleczek 722 950 891/bacha, fakt hlídat sami!!!!!!",Moravskoslezský,ASTIP STRONG 7500VA/3F -30 minut,"Bruntál, Zahradní 48, Strojmetal - POZOR info ve složce",,,,10/26,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"buková u příbramě, horse park, česká republika","Buková u Příbramě, Horse Park, Česká republika",,2026-07-16,73,Více než 60 dnů,zelená,2026-07-16 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",137,2019,ano,,,Středočeský,  PS 5000/3f-30 minut,,,,,,,,,16/26,,,,,,,"22.8.19, instalován nový záložák, bez protokolu FZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Červenka – 602 379 283,"Buková u Příbramě, Horse Park",,,
"buštěhrad, lidl, česká republika","Buštěhrad, LIDL, Česká republika",,2026-10-21,170,Více než 60 dnů,zelená,2026-10-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",138,bez,,,,Středočeský,4 x RPO,,,,,,,,,,,,21/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corradini 724 230 992,"Buštěhrad, LIDL",,,
"bílá třemešná 313, zš a mš, česká republika","Bílá Třemešná 313, ZŠ a MŠ, Česká republika",2026-01-27,2026-07-27,84,Více než 60 dnů,zelená,2026-01-27 (proběhlá); 2026-07-27 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,8,"2019, 2020",,,Vlna 604 142 983,Královehradecký,STRONG 10kVA/3kVA/3F -30 min + PS 102A/1F-24 h,"Bílá Třemešná 313, ZŠ a MŠ",,27/26,,,,,,27/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"břeclav, j. opletala 14a, česká republika","Břeclav, J. Opletala 14a, Česká republika",,2026-05-30,26,7–30 dnů,oranžová,2026-05-30 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",136,2018,,,,Jihomoravský,2 x záložní zdroj,,,,,,,30/26,,,,,,,,,"20.6.2024 -posílám aktualizaci CN - 19.6.2024 -dsotala jsem kontakt n předsedu Lovecký 733 713 888, lovecky@email.cz, je to hodně peněz, chtěl by slevu, přemýšlejí také o konkurenci",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Maděryč - 602 748 806,"Břeclav, J. Opletala 14a",,,
"břeclav, na pěšině 13, dps, česká republika","Břeclav, Na Pěšině 13, DPS, Česká republika",2025-09-30,2026-03-30,-35,Po termínu,červená,2025-09-30 (proběhlá); 2026-03-30 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,58,2016 + 2022,,,"Ivo Maděryč
T 602 510 370",Jihomoravský,2 x PS 15kVA/3f-45 minut,"Břeclav, Na Pěšině 13, DPS",,,,30/26,,,,,,30/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"cerhenice, za cukrovarem 575, 576, česká republika","Cerhenice, Za Cukrovarem 575, 576, Česká republika",,2026-09-18,137,Více než 60 dnů,zelená,2026-09-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",140,,,,,Středočeský,2 x 3kVA,,,,,,,,,,,18/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Pěničková 733 610 200,"Cerhenice, Za Cukrovarem 575, 576",,,
"cerhenice, za cukrovarem 591, 593, 594, česká republika","Cerhenice, Za Cukrovarem 591, 593, 594, Česká republika",,2026-11-13,193,Více než 60 dnů,zelená,2026-11-13 (plánovaná); 2027-01-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",139,"2019, 2022",,,,Středočeský,3 x 2kVA,,,"8/27-591, 594",,,,,,,,,,13/26-593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,pan Čejka 731 852 696,"Cerhenice, Za Cukrovarem 591, 593, 594",,,
"cerhenice, za cukrovarem 592, česká republika","Cerhenice, Za Cukrovarem 592, Česká republika",2024-08-14,2024-08-14,-628,Po termínu,červená,2024-08-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",141,,,,,Středočeský,2kVA,,,,,,,,,,14/24 592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,pan Jančura 607 777 447,"Cerhenice, Za Cukrovarem 592",,,
"cheb, dlouhá 12, klub seniorů, česká republika","Cheb, Dlouhá 12, klub seniorů, Česká republika",2025-10-15,2025-10-15,-201,Po termínu,červená,2025-10-15 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,113,2015,,,Jiří Čada 601 390 923,Karlovarský,ASTIP PS 15kVA/3F -45 minut,"Cheb, Dlouhá 12, klub seniorů",,,,,,,,,,,15/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"cheb, dragounská 2529-6, albert, česká republika","Cheb, Dragounská 2529-6, Albert, Česká republika",,2027-02-18,290,Více než 60 dnů,zelená,2027-02-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",182,2019,"Cheb,%20Dragounská%202529-6,%20Albert","Cheb,%20Dragounská%202529-6,%20Albert",,Karlovarský,STRONG 10kVA/3f-15 minut,,,,18/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Lorenc 727 945 363, Přitasilová 601 570 709","Cheb, Dragounská 2529-6, Albert",,,
"cheb, jateční, hotel barbarossa, česká republika","Cheb, Jateční, hotel Barbarossa, Česká republika",2025-09-30,2025-09-30,-216,Po termínu,červená,2025-09-30 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",183,2015,,,,Karlovarský,  PS 7500/3f-45 minut,,,,,,,,,,,30/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Krtouš - 603 486 599,"Cheb, Jateční, hotel Barbarossa",,,
"cheb, jesenice 59, areál schiessel, česká republika","Cheb, Jesenice 59, areál Schiessel, Česká republika",,2026-10-15,164,Více než 60 dnů,zelená,2026-10-15 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",184,2025,5 let záruka,,,Karlovarský,ASTIP STRONG 7500VA/3F -30 minut,,,,,,,,,,,,15/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Radek Šuhaj 737 491 276,"Cheb, Jesenice 59, areál Schiessel",,,
"cheb, karlovarská 38, česká republika","Cheb, Karlovarská 38, Česká republika",2025-01-17,2025-07-17,-291,Po termínu,červená,2025-01-17 (proběhlá); 2025-07-17 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,114,2017,,,Barvinek - 777 725 627,Karlovarský,PS 10 000/3f - 45min.,"Cheb, Karlovarská 38",,17/25,,,,,,17/25,,,,,,,21.5.2024 - poslaná aktualizace paní Mudrové,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"chlumec, muchova 267, mú, česká republika","Chlumec, Muchova 267, MÚ, Česká republika",2022-11-30,2022-11-30,-1251,Po termínu,červená,2022-11-30 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",185,"2017-KO, 2021",,,,Ústecký,ASTIP PS 2 000VA/3F-20 minut,,,,,,,,,,,,,30/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Randáková 725 440 052,"Chlumec, Muchova 267, MÚ",,,
"choceň, běstovice, de heus, česká republika","Choceň, Běstovice, De Heus, Česká republika",2025-12-16,2026-06-16,43,30–60 dnů,žlutá,2025-12-16 (proběhlá); 2026-06-16 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,115,2015,,ano,"Tomáš Fritsche 725 857 069, tfritsche@deheus.com",Pardubický,"1-ASTIP PS 4000/3f-10 minut, 2-ASTIP PS 4000/3f-10 minut, 3-ASTIP PS 4000/3f-10 minut, 4-ASTIP PS 4000/3f-10 minut","Choceň, Běstovice, De Heus",,,,,,,16/26,,,,,,16/25-1xstopa stav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"chodov, westfield, parkovací dům, česká republika","Chodov, Westfield, parkovací dům, Česká republika",2024-08-10,2024-08-10,-632,Po termínu,červená,2024-08-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",186,2015,,,,Karlovarský,ASTIP STRONG 15kVA/12kW/3f/1f - 60 minut,,,,,,,,,,10/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hanzlík atalian 606 744 958,"Chodov, Westfield, parkovací dům",,,
