Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na,GPS_status,Adresa_GPS_původní
"brno, purkyňova 99, redhat, česká republika","Brno, Purkyňova 99, REDHAT, Česká republika",2024-05-17,2024-05-17,-717.0,Po termínu,červená,2024-05-17 (plánovaná),49.22612,16.58161,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",96,2017,,,,Jihomoravský,RPO,,,,,,,17/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corradini 724 230 992,"Brno, Purkyňova 99, REDHAT",,,,OK Mapy.com,"Brno, Purkyňova 99, REDHAT, Česká republika"
"brno, přadlácká 628/12, bd, česká republika","BD, Přadlácká 628/12, Brno, Česká republika",,2026-11-18,198.0,Více než 60 dnů,zelená,2026-11-18 (plánovaná),49.2019,16.62512,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",94,2019,,,,Jihomoravský,ASTIP STRONG 1 500VA/1F -10 min. + RPO,,,,,,,,,,,,,18/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Ing. Tomáš Grísa, Ph.D,  602 734 638","Brno, Přadlácká 628/12, BD",,,,upraveno - znovu geokódovat,"Brno, Přadlácká 628/12, BD, Česká republika"
"brno, přízova 16, bd firmy gm electronic, česká republika","BD firmy GM electronic, Přízova 16, Brno, Česká republika",,2027-03-17,317.0,Více než 60 dnů,zelená,2027-03-17 (plánovaná),49.1891,16.61584,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",95,2020,,,,Jihomoravský,STRONG 3000/3F-15minut,,,,,17/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jozef Križovenský
Vedoucí pobočky Brno, 735 036 222","Brno, Přízova 16, BD firmy GM electronic",,,,upraveno - znovu geokódovat,"Brno, Přízova 16, BD firmy GM electronic, Česká republika"
"brno, přízova 285-3-bochner vlněná, česká republika","Brno, Přízova 285-3-Bochner Vlněná, Česká republika",2025-10-17,2026-04-17,-17.0,Po termínu,červená,2025-10-17 (proběhlá); 2026-04-17 (plánovaná),49.19019,16.61654,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,43,2019,,,Martin Dufek 703 426 998/ 24-7 -servis 735 7219 510,Jihomoravský,STRONG 2000/3F -60 minut + RPO,"Brno, Přízova 285-3-Bochner Vlněná",,,,,17/26,,,,,,17/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Brno, Přízova 285-3-Bochner Vlněná, Česká republika"
"brno, reissigova . 620-15, bd, česká republika","BD, Reissigova . 620-15, Brno, Česká republika",,2026-11-20,200.0,Více než 60 dnů,zelená,2026-11-20 (plánovaná),49.21664,16.60316,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",97,2020,,,,Jihomoravský,"ASTIP PS 75kVA/3F-45 minut, RPO",,,,,,,,,,,,,20/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Ondřej Doležel, IMOS , 737 995 967","Brno, Reissigova č.p. 620-15, BD",,,,upraveno - znovu geokódovat,"Brno, Reissigova . 620-15, BD, Česká republika"
"brno, rolnická 1, bd, česká republika","BD, Rolnická 1, Brno, Česká republika",,2027-01-28,269.0,Více než 60 dnů,zelená,2027-01-28 (plánovaná),49.16616,16.57829,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",35,2019,,,,Jihomoravský,  PS 20kVA/3f-45 minut,,,28/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Křížová Evgenija - 776 098 508
           evgenya@seznam.cz","Brno, Rolnická 1, BD",,4000,,upraveno - znovu geokódovat,"Brno, Rolnická 1, BD, Česká republika"
"brno, rolnická 5, bd, česká republika","BD, Rolnická 5, Brno, Česká republika",,2026-10-20,169.0,Více než 60 dnů,zelená,2026-10-20 (plánovaná),49.16654,16.57807,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",98,2023,,,,Jihomoravský,ASTIP STRONG 30kVA/3F-45 minut,,,,,,,,,,,,20/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"HISO, Sojka 777 715 918","Brno, Rolnická 5, BD",,,,upraveno - znovu geokódovat,"Brno, Rolnická 5, BD, Česká republika"
"brno, rooseveltova 16, krajský soud, česká republika","Brno, Rooseveltova 16, Krajský soud, Česká republika",2025-12-17,2025-12-17,-138.0,Po termínu,červená,2025-12-17 (plánovaná),49.19666,16.61161,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,44,2021,,,Fölkl 602 402 147,Jihomoravský,ASTIP PS 30kVA/3F-45 minut,"Brno, Rooseveltova 16, Krajský soud",,,,,,,,,,,,,17/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Brno, Rooseveltova 16, Krajský soud, Česká republika"
"brno, rotalova 18, česká republika","Brno, Rotalova 18, Česká republika",2020-10-22,2020-10-22,-2020.0,Po termínu,červená,2020-10-22 (plánovaná),49.20905,16.62709,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",99,2019,,,,Jihomoravský,STRONG 500/1f - 1H,,,,,,,,,,,,22/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cagášek - 605 705 386,"Brno, Rotalova 18",,,,OK Mapy.com,"Brno, Rotalova 18, Česká republika"
"brno, rotalova 80, 82, 84, bd, česká republika","BD, Rotalova 80, Brno, Česká republika",,2026-05-15,11.0,7–30 dnů,oranžová,2026-05-15 (plánovaná); 2026-06-30 (plánovaná),49.21267,16.62892,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",100,"2019, 2018",ano,ano,,Jihomoravský,"80 - STRONG 2kVA/3F-45min, 82+84 -STRONG 3kVA/3F-45 minut",,,,,,,15/26-1 x stop stav 2025,30/26-82,,,,,,,,"Info- 1. termín FZ prošvihli, první oprava byla zdarma, pozor na další, už jm účtovat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,733 737 929 - Ondřej Valouch,"Brno, Rotalova 80,82,84, BD",,,,upraveno - znovu geokódovat,"Brno, Rotalova 80, 82, 84, BD, Česká republika"
"brno, rybářská 5a, česká republika","Brno, Rybářská 5a, Česká republika",2026-02-18,2026-02-18,-75.0,Po termínu,červená,2026-02-18 (plánovaná),49.18756,16.58946,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",101,2016,ano,,,Jihomoravský,"5kVA/3f, 1500/1f-45 minut",,,,18/26-5kVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Karel Svoboda 723 158 581,"Brno, Rybářská 5a",,,,OK Mapy.com,"Brno, Rybářská 5a, Česká republika"
"brno, sekaninova 3, česká republika","Brno, Sekaninova 3, Česká republika",2025-12-08,2025-12-08,-147.0,Po termínu,červená,2025-12-08 (plánovaná),49.20561,16.62988,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,45,2020,,,Čuprová Adámková 775 980 776,Jihomoravský,ASTIP STRONG 15kVA/3F -45 minut,"Brno, Sekaninova 3",,,,,,,,,,,,,8/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Brno, Sekaninova 3, Česká republika"
"brno, selská 37, česká republika","Brno, Selská 37, Česká republika",,2026-08-19,107.0,Více než 60 dnů,zelená,2026-08-19 (plánovaná),49.21688,16.6435,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",104,2018,,,,Jihomoravský,STRONG 2000/3F -10 minut + RPO,,,,,,,,,,19/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Huták 702 194 887,"Brno, Selská 37",,,,OK Mapy.com,"Brno, Selská 37, Česká republika"
"brno, skořepka 4, česká republika","Brno, Skořepka 4, Česká republika",2025-02-28,2025-02-28,-430.0,Po termínu,červená,2025-02-28 (plánovaná),49.1926,16.61612,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",105,2017,,,,Jihomoravský,PS 3kVA/3f-20 min,,,,28/25,,,,,,,,,,,,"fakturu + protokol poštou, viz složka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Butula - 724 438 604,"Brno, Skořepka 4",,,,OK Mapy.com,"Brno, Skořepka 4, Česká republika"
"brno, sokolova 1e, česká republika","Brno, Sokolova 1e, Česká republika",,2027-01-06,247.0,Více než 60 dnů,zelená,2027-01-06 (plánovaná),49.16595,16.6195,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",106,2022,ano,ano,,Jihomoravský,"STRONG 1500VA/3F-60 minut, EI",,,6/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Petr Kavalec 734 480 318,"Brno, Sokolova 1e",,,,OK Mapy.com,"Brno, Sokolova 1e, Česká republika"
"brno, spolková 8a, česká republika","Brno, Spolková 8a, Česká republika",2025-07-02,2025-07-02,-306.0,Po termínu,červená,2025-07-02 (plánovaná),49.20115,16.62345,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",107,2020,ano,ano,,Jihomoravský,PS 4000/3f -10 minut,,,,,,,,,2/25,,,,,,,hlídat sami kontroly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Tomáš  Weigner 734 182 774 ,"Brno, Spolková 8a",,,,OK Mapy.com,"Brno, Spolková 8a, Česká republika"
"brno, spěšná 732/4, bd, česká republika","BD, Spěšná 732/4, Brno, Česká republika",2024-08-21,2024-08-21,-621.0,Po termínu,červená,2024-08-21 (plánovaná),49.18212,16.62075,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",114,2015,,,,Jihomoravský,STRONG 2000VA/3F-15 minut,,,,,,,,,,21/24,,,,,,27.2.2025 -poslán dotaz sramkovi i s cenovkou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Šramko 776 089 989,"Brno, Spěšná 732/4, BD",,,,upraveno - znovu geokódovat,"Brno, Spěšná 732/4, BD, Česká republika"
"brno, srbská 68, česká republika","Brno, Srbská 68, Česká republika",2022-09-05,,,Bez termínu,šedá,2022-09-05 (nezjištěno),49.22949,16.58633,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",108,2018,,,,Jihomoravský,STRONG 2000/3F -35 minut + RPO,,,,,,,,,,,5/22,,,,,19.6.2024 -mají nový zdroj od jiného dodavatele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Krulová 775 675 947,"Brno, Srbská 68",,,,OK Mapy.com,"Brno, Srbská 68, Česká republika"
"brno, starobrněnská 10, hotel royal ricc, česká republika","Brno, Starobrněnská 10, Hotel Royal Ricc, Česká republika",2026-02-11,2026-08-11,99.0,Více než 60 dnů,zelená,2026-02-11 (proběhlá); 2026-08-11 (plánovaná),49.19265,16.60714,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,46,2023,,,Aubrechtová ,Jihomoravský,ASTIP PS 15kVA/3F-45 minut,"Brno, Starobrněnská 10, Hotel Royal Ricc",,,11/26,,,,,,11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Brno, Starobrněnská 10, Hotel Royal Ricc, Česká republika"
"brno, starobrněnská 9, česká republika","Brno, Starobrněnská 9, Česká republika",2026-01-14,2026-01-14,-110.0,Po termínu,červená,2026-01-14 (plánovaná),49.19232,16.60684,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",109,2013,ano,,,Jihomoravský,  PS 10 000/3f-45 minut,,,14/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Otto Rinchenbach, 603 428 221","Brno, Starobrněnská 9",,,,OK Mapy.com,"Brno, Starobrněnská 9, Česká republika"
"brno, střední 65, brno ponavia residence iii, bd, česká republika","Brno Ponavia residence III, BD, Střední 65, Brno, Česká republika",,2027-03-09,309.0,Více než 60 dnů,zelená,2027-03-09 (plánovaná),49.21513,16.60347,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",110,2023,ano,,,Jihomoravský,ASTIP STRONG 81kVA/15kVA/3f-45 minut,,,,,9/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Fleischer 733 760 908,"Brno, Střední 65, Brno Ponavia residence III - BD",,,,upraveno - znovu geokódovat,"Brno, Střední 65, Brno Ponavia residence III, BD, Česká republika"
"brno, svatopetrská 536/20, česká republika","Brno, Svatopetrská 536/20, Česká republika",,,,Bez termínu,šedá,,49.18029,16.62148,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,47,2017,,,Vrbický - 608 115 544,Jihomoravský,PS 20kVA/1f-12 hodin,"Brno, Svatopetrská 536/20",,,,,,,,,,,,,,,"prázdná budova, prodává se",8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,OK Mapy.com,"Brno, Svatopetrská 536/20, Česká republika"
"brno, svážná 1, česká republika","Brno, Svážná 1, Česká republika",,2027-04-23,354.0,Více než 60 dnů,zelená,2027-04-23 (plánovaná),49.17433,16.55722,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",111,2017,,ano,,Jihomoravský,STRONG 15 kVA/3F - 45 minut,,,,,,23/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Vašourek - 603 709 653,"Brno, Svážná 1",,,,OK Mapy.com,"Brno, Svážná 1, Česká republika"
"brno, svážná 7, česká republika","Brno, Svážná 7, Česká republika",,2026-08-26,114.0,Více než 60 dnů,zelená,2026-08-26 (plánovaná),49.17483,16.55532,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",112,2022,,,,Jihomoravský,ASTIP STRONG 62kVA/30kVA/3F-45 minut,,,,,,,,,,26/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machan Výtahy Brno - 608 266 701,"Brno, Svážná 7",,,,OK Mapy.com,"Brno, Svážná 7, Česká republika"
"brno, teyschlova 29, 31, česká republika","Brno, Teyschlova 29, 31, Česká republika",2026-02-24,2026-02-24,-69.0,Po termínu,červená,2026-02-24 (plánovaná),49.21625,16.50207,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",117,2020,,,,Jihomoravský,ASTIP PS 40kVA/3F -45 minut,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Prokeš 737 739 234,"Brno, Teyschlova 29, 31",,,,OK Mapy.com,"Brno, Teyschlova 29, 31, Česká republika"
"brno, trnková 117c, f.svs fem, česká republika","Brno, Trnková 117c, f.SVS FEM, Česká republika",2026-03-17,2026-03-17,-48.0,Po termínu,červená,2026-03-17 (plánovaná),49.19796,16.6711,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,53,2019,ano,,kailerová recepce 737 138 481,Jihomoravský,ASTIP STRONG 2kVA/1F-15minut/EI45,"Brno, Trnková 117c, f.SVS FEM",,,,17/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Brno, Trnková 117c, f.SVS FEM, Česká republika"
"brno, turgeněvova 9, 11, česká republika","Brno, Turgeněvova 9, 11, Česká republika",2026-02-25,2026-02-25,-68.0,Po termínu,červená,2026-02-25 (plánovaná),49.18963,16.64378,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",118,2018,,,,Jihomoravský,STRONG 1000/1F-10 minut,,,,25/26-9 +27/-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Čejková 603 712 673,"Brno, Turgeněvova 9,11",,,,OK Mapy.com,"Brno, Turgeněvova 9, 11, Česká republika"
"brno, tábor 22, dps, česká republika","Brno, Tábor 22, DPS, Česká republika",2026-02-11,2026-08-11,99.0,Více než 60 dnů,zelená,2026-02-11 (proběhlá); 2026-08-11 (plánovaná),49.21218,16.58885,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,52,2017,ano,,Slavík - správce - 724 787 146,Jihomoravský,PS LiftBack7500/3f-45 minut,"Brno, Tábor 22, DPS",,,11/26,,,,,,11/26,,,,,,,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Brno, Tábor 22, DPS, Česká republika"
"brno, tábor 28b, bytový dům, česká republika","bytový dům, Tábor 28b, Brno, Česká republika",,2027-02-18,290.0,Více než 60 dnů,zelená,2027-02-18 (plánovaná),49.21235,16.59028,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",115,2021,,,,Jihomoravský,ASTIP STRONG 4kVA/750VA/1F-15 minut,,,,18/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pí Ben-Chenni, 737 157 805","Brno, Tábor 28b, bytový dům",,,,upraveno - znovu geokódovat,"Brno, Tábor 28b, bytový dům, Česká republika"
"brno, tábor 34a, česká republika","Brno, Tábor 34a, Česká republika",,,,Bez termínu,šedá,,49.21288,16.59142,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",116,2011,,,,Jihomoravský,POSLAT HASIČE,,,KO od 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Brno, Tábor 34a",,,,OK Mapy.com,"Brno, Tábor 34a, Česká republika"
"brno, u červeného mlýna 616-14, ponavia rezidence ii, česká republika","PONAVIA REZIDENCE II, U Červeného mlýna 616-14, Brno, Česká republika",,2027-03-26,326.0,Více než 60 dnů,zelená,2027-03-26 (plánovaná),49.21555,16.6029,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",325,2019,ano,,,Jihomoravský,STRONG 30kVA/3F - 45 minut,,,,,26/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,správa 733 713 838,"Brno, U Červeného mlýna 616-14, PONAVIA REZIDENCE II",,,,upraveno - znovu geokódovat,"Brno, U Červeného mlýna 616-14, PONAVIA REZIDENCE II, Česká republika"
"brno, valtická 3, česká republika","Brno, Valtická 3, Česká republika",2025-04-18,2025-04-18,-381.0,Po termínu,červená,2025-04-18 (plánovaná),49.20492,16.65674,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",120,2017,,,,Jihomoravský,"Astip PS 10000/3f, 45 min",,,,,,18/25???,,,,,,,,,,"18/4 2024, měnil se střídač, bez protokolu, tedy zaslaná jen fa. bez protokolu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"darina.jelinkova@cz.schindler.com, 605235325","Brno, Valtická 3",,,,OK Mapy.com,"Brno, Valtická 3, Česká republika"
"brno, velkopavlovická 12, česká republika","Brno, Velkopavlovická 12, Česká republika",2023-08-16,2023-08-16,-992.0,Po termínu,červená,2023-08-16 (plánovaná),49.20493,16.66226,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",121,2013,,,,Jihomoravský,  PS 12 000/3f-45 minut,,,,,,,,,,16/23,,,,,,"2025 -nový zdroj řeší Kuba Veselský, 24. +25.6.2024telefon neustále vypnutý, možná na dovči, zkusit příští týden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bc. Miroslav Geršl – 602 234 511,"Brno, Velkopavlovická 12",,,,OK Mapy.com,"Brno, Velkopavlovická 12, Česká republika"
"brno, velkopavlovická 7, česká republika","Brno, Velkopavlovická 7, Česká republika",,,,Bez termínu,šedá,,49.20414,16.66325,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",122,2014,,,,Jihomoravský,PS 20kVA/3f ,,,,,,,,,,,,,,13,,"zatím to visí na pojišťovně, 8.1.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Pavel Hrouzek - 734 238 045, 515511246","Brno, Velkopavlovická 7",,,,OK Mapy.com,"Brno, Velkopavlovická 7, Česká republika"
"brno, vlastimila pecha 2, s&k tools spol. s r.o, česká republika","Brno, Vlastimila Pecha 2, S&K TOOLS spol. s r.o, Česká republika",2025-01-15,2025-01-15,-474.0,Po termínu,červená,2025-01-15 (plánovaná),49.21249,16.60803,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",127,"2018,2024 nový zdroj",,,,Jihomoravský,ASTIP STRONG 750VA/1F/4C/1H,,,15/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kalousek 724 131 283,"Brno, Vlastimila Pecha 2, S&K TOOLS spol. s r.o",,,,OK Mapy.com,"Brno, Vlastimila Pecha 2, S&K TOOLS spol. s r.o, Česká republika"
"brno, vlastimila pecha 7, phoenix, česká republika","Phoenix, Vlastimila Pecha 7, Brno, Česká republika",,2026-05-22,18.0,7–30 dnů,oranžová,2026-05-22 (plánovaná),49.181,16.66268,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",128,2017,,,,Jihomoravský,PS 100kVA/3f-15 minut,,,,,,,22/26,,,,,,,,,,,COLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Horák - 724 610 263,"Brno, Vlastimila Pecha 7, Phoenix",,10800,PHOENIX,upraveno - znovu geokódovat,"Brno, Vlastimila Pecha 7, Phoenix, Česká republika"
"brno, vranovská 3, česká republika","Brno, Vranovská 3, Česká republika",2026-03-07,2026-03-07,-58.0,Po termínu,červená,2026-02-05 (plánovaná); 2026-03-07 (plánovaná),49.20276,16.62582,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",129,2020,,,,Jihomoravský,2 x STRONG 4kVA/3F-15minut,,,,5/26,7/26-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Skřivánek 734 645 526,"Brno, Vranovská 3",,,,OK Mapy.com,"Brno, Vranovská 3, Česká republika"
